Title,Monthly sales,Sales,Monthly revenue,Revenue,LQS,Price,Category,Shop,BSR Category (%),BSR Category,Conversion rate,Creator,Product creation era,Views,Video,URL,Tag count,Tags,Review rate,Reviews,Review score,Production partners,Processing time,Min processing time,Max processing time,Personalization required,Creation date,Favorites,Listing type,Listing age (days),Vintage,Supply item,Personalizable,Image count,Free US shipping
"Rutilated Quartz Hammered Men's Wedding Band- Natural Crushed Quartz Silver Tungsten 8mm Wedding Band Polished Comfort Fit Ring Gift For Him","2","36","$195","$4140","53","$115.00","Jewelry","Aquamarise","0.0","NaN","0.53%","Shop owner","Made to Order","6780","Yes","https://www.etsy.com/listing/1616500869/rutilated-quartz-hammered-mens-wedding","13","mens wedding band,unique mens ring,couples ring sets,gifts for men,his promise ring,men inlay ring,man silver ring,gifts for him,crushed gemstone,men hammered band,man rutilated quartz,black gemstone ring,Mother's Day Gift","30.56%","11","4.90","None","4.00 days","3 days","5 days","No","22 Kas, 2023","431","Physical","656","No","No","Yes","5","Yes",
"Vintage Aquamarine Necklace in 925 Sterling Silver- Art Deco Gatsby Inspired March Birthstone Bridal Necklace- Anniversary Gift For Her","1","39","$93","$3705","58","$95.00","Weddings","Aquamarise","0.0","NaN","1.32%","Shop owner","Made to Order","2961","No","https://www.etsy.com/listing/1220487664/vintage-aquamarine-necklace-in-925","13","aquamarine necklace,vintage necklace,march birthstone,something blue,blue gemstone,Art Deco necklace,bridal necklace,GIFTS FOR HER,unique necklace,925 sterling silver,anniversary gift,birthstone necklace,birthday gift","30.77%","12","5.00","None","4.00 days","3 days","5 days","No","17 May, 2022","311","Physical","1210","No","No","No","3","Yes",
"Teardrop Alexandrite Engagement Ring in 925 Sterling Silver- Art Deco Vintage Promise Ring June Birthstone Anniversary Birthday Gift For Her","4","276","$352","$24564","74","$89.00","Jewelry","Aquamarise","0.0","NaN","1.04%","Shop owner","Made to Order","26565","Yes","https://www.etsy.com/listing/756592407/teardrop-alexandrite-engagement-ring-in","13","Alexandrite Ring,engagement ring,color changing stone,stacking ring set,June birthstone,Dainty promise ring,Unique gemstone ring,GIFTS FOR HER,PROMISE RING FOR HER,vintage ring for her,pear cut engagement,sterling silver ring,unique ring for her","30.80%","85","4.90","None","4.00 days","3 days","5 days","No","26 Kas, 2019","1651","Physical","2113","No","No","Yes","7","Yes",
"Alexandrite Engagement Ring Set- Emerald Cut Ring- 14K Rose Gold Vermeil Hidden Halo Promise Ring June Birthstone Wedding Ring Set for Women","1","36","$94","$3420","63","$95.00","Jewelry","Aquamarise","0.0","NaN","0.69%","Shop owner","Made to Order","5233","Yes","https://www.etsy.com/listing/1292363937/alexandrite-engagement-ring-set-emerald","13","birthstone rings,alexandrite jewelry,color change stone,PERSONALIZED JEWELRY,stacking ring set,Minimalist Ring Set,GIFT FOR WIFE,GEMSTONE JEWELRY,STATEMENT RING,GIFTS FOR HER,GIFTS FOR MOM,PROMISE RING FOR HER,handmade jewelry","30.56%","11","4.90","None","4.00 days","3 days","5 days","No","24 A%u011Fu, 2022","341","Physical","1110","No","No","Yes","9","Yes",
"Hexagon Natural Citrine Ring- Sterling Silver Citrine Engagement Ring For Women- Split Shank Promise Ring- November Birthstone- Gift For Her","1","62","$71","$5518","63","$89.00","Jewelry","Aquamarise","0.0","NaN","1.17%","Member of the shop","Made to Order","5286","Yes","https://www.etsy.com/listing/682591614/hexagon-natural-citrine-ring-sterling","13","Hexagon Ring,Birthstone Ring,Yellow Gemstone Ring,November Birthstone,Engagement Ring,Birthday Gift,Anniversary Gift,Gift For Her,Promise ring for her,Natural Citrine ring,GIFTS FOR HER,GIFTS FOR MOM,handmade jewelry","30.65%","19","5.00","None","4.00 days","3 days","5 days","No","05 Nis, 2019","406","Physical","2347","No","No","No","6","Yes",
"Natural Red Garnet Engagement Ring For Women- 14K Rose Gold Vermeil Emerald Cut Unique Red Garnet Promise Ring Anniversary Gift Idea For Her","1","14","$67","$1330","47","$95.00","Jewelry","Aquamarise","0.0","NaN","0.58%","Shop owner","Made to Order","2405","Yes","https://www.etsy.com/listing/1649142351/natural-red-garnet-engagement-ring-for","13","Natural red garnet,Gifts for her,Dainty Promise Ring,Garnet flower ring,fairytale ring,red rings woman,Custom rings for her,gold red garnet ring,rose gold ring woman,rose gold garnet,minimalist ring,emerald cut garnet,her engagement ring","0.00%","0","0.00","None","4.00 days","3 days","5 days","No","03 Oca, 2024","161","Physical","614","No","No","Yes","5","Yes",
"Oval Halo Morganite Engagement Ring- 14K Solid Rose Gold Ring- Natural Morganite Promise Ring - Pink Gemstone - Anniversary Gift For Her","1","49","$747","$55615","63","$1135.00","Jewelry","Aquamarise","0.0","NaN","0.19%","Shop owner","Made to Order","25773","Yes","https://www.etsy.com/listing/706505564/oval-halo-morganite-engagement-ring-14k","13","14K rose Gold Ring,Art Deco Ring,Natural Morganite,Engagement Ring,Gift For her,peach Morganite Ring,14k solid gold ring,Unique gemstone ring,dainty promise ring,peachy pink stone,pink gemstone ring,GIFTS FOR HER,PROMISE RING FOR HER","30.61%","15","4.70","None","18.00 days","12 days","24 days","Yes","10 Tem, 2019","1183","Physical","2252","No","No","Yes","8","Yes",
"Galaxy Orion Nebula & Tanzanite Couples Ring- His and Hers Ring Set- Black Purple Matching Wedding Bands - Outer Space Starry Couples Ring","3","42","$631","$9870","58","$235.00","Jewelry","Aquamarise","0.0","NaN","0.22%","Shop owner","Made to Order","18966","Yes","https://www.etsy.com/listing/1713927216/galaxy-orion-nebula-tanzanite-couples","13","Matching ring set,his and hers ring,engagement ring set,wedding ring set,couples promise ring,couples wedding band,Outer space ring,black and purple,cornflower sapphire,purple couples ring,matching rings,black wedding band,Starry night ring","30.95%","13","4.50","None","4.00 days","3 days","5 days","No","08 May, 2024","811","Physical","488","No","No","Yes","7","Yes",
"Starry Night & Fire Opal Couples Ring Set- Galaxy Sandstone His and Hers Rings- Great Rift Nebula Wedding Band- Sterling Silver/ Tungsten","1","13","$264","$3185","68","$245.00","Jewelry","Aquamarise","0.0","NaN","0.22%","Shop owner","Made to Order","5858","Yes","https://www.etsy.com/listing/1768918782/starry-night-fire-opal-couples-ring-set","13","Matching ring set,his and hers ring,couples ring set,engagement ring set,wedding ring set,couples promise ring,couple wedding band,promise ring set,Orion Nebula ring,blue sandstone ring,Unique gemstone ring,Starry night ring,moon and stars ring","30.77%","4","5.00","None","4.00 days","3 days","5 days","No","24 A%u011Fu, 2024","547","Physical","380","No","No","Yes","6","Yes",
"Vintage Paraiba Tourmaline Ring- 14K Rose Gold Vermeil Neon Brazilian Paraiba Engagement Ring For Women Promise Ring October Birthstone","1","32","$66","$2848","63","$89.00","Jewelry","Aquamarise","0.0","NaN","0.54%","Shop owner","Made to Order","5888","Yes","https://www.etsy.com/listing/1153146364/vintage-paraiba-tourmaline-ring-14k-rose","13","paraiba tourmaline,tourmaline ring,engagement ring,Gatsby ring,turquoise gemstone,October birthstone,Unique gemstone ring,Dainty promise ring,GIFTS FOR HER,GIFTS FOR MOM,PERSONALIZED RING,GIFT FOR WIFE,Mother's Day Gift","31.25%","10","4.70","None","4.00 days","3 days","5 days","No","26 Oca, 2022","439","Physical","1321","No","No","Yes","5","Yes",
